"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"PLAB","Photronics, Inc.","7.9","$545.52M","1987","Technology","Semiconductors","https://www.nasdaq.com/symbol/plab",
"PICO","PICO Holdings Inc.","12.9","$298.59M","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/pico",
"PIRS","Pieris Pharmaceuticals, Inc.","8.07","$361.49M","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://www.nasdaq.com/symbol/pirs",
"PPC","Pilgrim&#39;s Pride Corporation","27.43","$6.82B","n/a","Consumer Non-Durables","Meat/Poultry/Fish","https://www.nasdaq.com/symbol/ppc",
"PME","Pingtan Marine Enterprise Ltd.","3.17","$250.6M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pme",
"PNK","Pinnacle Entertainment, Inc.","31.94","$2.07B","n/a","Consumer Services","Hotels/Resorts","https://www.nasdaq.com/symbol/pnk",
"PNFP","Pinnacle Financial Partners, Inc.","64.2","$4.99B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/pnfp",
"PPSI","Pioneer Power Solutions, Inc.","7.55","$65.88M","n/a","Consumer Durables","Electrical Products","https://www.nasdaq.com/symbol/ppsi",
"PXLW","Pixelworks, Inc.","5.83","$199.69M","2000","Technology","Semiconductors","https://www.nasdaq.com/symbol/pxlw",
"EAGLU","Platinum Eagle Acquisition Corp.","10.066","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/eaglu",
"PLYA","Playa Hotels & Resorts N.V.","10.39","$1.15B","n/a","Consumer Services","Hotels/Resorts","https://www.nasdaq.com/symbol/plya",
"PLXS","Plexus Corp.","59.82","$2.01B","n/a","Technology","Electrical Products","https://www.nasdaq.com/symbol/plxs",
"PLUG","Plug Power, Inc.","1.94","$443.23M","1999","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/plug",
"PLBC","Plumas Bancorp","24.15","$122.32M","n/a","Finance","Finance Companies","https://www.nasdaq.com/symbol/plbc",
"PSTI","Pluristem Therapeutics, Inc.","1.42","$153.52M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/psti",
"PLXP","PLx Pharma Inc.","6.35","$55.38M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/plxp",
"PBSK","Poage Bankshares, Inc.","20","$70.44M","2011","Finance","Savings Institutions","https://www.nasdaq.com/symbol/pbsk",
"PNTR","Pointer Telocation Ltd.","17.95","$144.21M","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/pntr",
"PCOM","Points International, Ltd.","11.2","$163.09M","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/pcom",
"POLA","Polar Power, Inc.","4.355","$44.17M","2016","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/pola",
"COOL","PolarityTE, Inc.","19.95","$127.46M","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/cool",
"POOL","Pool Corporation","132.49","$5.32B","1995","Consumer Durables","Industrial Specialties","https://www.nasdaq.com/symbol/pool",
"POPE","Pope Resources","69.65","$303.4M","n/a","Consumer Non-Durables","Environmental Services","https://www.nasdaq.com/symbol/pope",
"BPOP","Popular, Inc.","41","$4.18B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/bpop",
"BPOPM","Popular, Inc.","22.3535","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/bpopm",
"BPOPN","Popular, Inc.","24.59","$295.08M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/bpopn",
"PBIB","Porter Bancorp, Inc.","14.01","$87.7M","2006","Finance","Major Banks","https://www.nasdaq.com/symbol/pbib",
"PTLA","Portola Pharmaceuticals, Inc.","49.88","$3.25B","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ptla",
"PBPB","Potbelly Corporation","12","$297.65M","2013","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/pbpb",
"PCH","Potlatch Corporation","52.1","$2.12B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/pch",
"POWL","Powell Industries, Inc.","32.04","$366.89M","n/a","Consumer Durables","Electrical Products","https://www.nasdaq.com/symbol/powl",
"POWI","Power Integrations, Inc.","67.5","$2.01B","1997","Technology","Semiconductors","https://www.nasdaq.com/symbol/powi",
